taxon	n_snp	or_displayed	lci	uci	b_recon	se_recon	p_stored	p_recon	log10p_delta	qc
genus.DefluviitaleaceaeUCG011.id.11287	9	1.1	0.97	1.24	0.092326	0.062647	0.1555105391067045	0.14054676847210784	0.0439	PASS
genus.RuminococcaceaeNK4A214group.id.11358	13	1.1	0.96	1.26	0.095145	0.069372	0.1587900921648609	0.170214649948911	0.0302	PASS
phylum.Firmicutes.id.1672	16	0.91	0.81	1.04	-0.08575	0.063762	0.1599823912317156	0.17867329909127183	0.048	PASS
genus.unknowngenus.id.2001	10	1.09	0.97	1.23	0.088277	0.060581	0.1609595064229287	0.14506679974516412	0.0451	PASS
family.unknownfamily.id.1000005471	13	1.08	0.97	1.21	0.080081	0.056399	0.1693612537808303	0.15563782976146232	0.0367	PASS
genus.unknowngenus.id.1000005472	13	1.08	0.97	1.21	0.080081	0.056399	0.1693612537808303	0.15563782976146232	0.0367	PASS
order.MollicutesRF9.id.11579	13	1.08	0.97	1.21	0.080081	0.056399	0.1693612537808303	0.15563782976146232	0.0367	PASS
genus.Enterorhabdus.id.820	6	0.9	0.78	1.04	-0.10462	0.07339	0.1723942884167909	0.153999326476153	0.049	PASS
genus.Intestinibacter.id.11345	14	1.08	0.96	1.22	0.079014	0.061142	0.1792966128516786	0.19625087929852347	0.0392	PASS
genus.Phascolarctobacterium.id.2168	9	0.91	0.79	1.05	-0.093466	0.072581	0.1810911787998129	0.1978337936637904	0.0384	PASS
order.Desulfovibrionales.id.3156	12	0.9	0.77	1.05	-0.106287	0.079123	0.1811146120205606	0.17916707953965827	0.0047	PASS
family.Lactobacillaceae.id.1836	9	1.13	0.94	1.36	0.122805	0.094226	0.1827572163825014	0.19247388059879722	0.0225	PASS
genus.Oscillibacter.id.2063	13	0.93	0.83	1.04	-0.073554	0.057539	0.194408106543139	0.20113250729073273	0.0148	PASS
order.Burkholderiales.id.2874	10	0.88	0.72	1.07	-0.130423	0.101064	0.1956879977906147	0.19687742229092442	0.0026	PASS
genus.unknowngenus.id.1868	9	0.91	0.78	1.06	-0.095096	0.078249	0.2107980895181731	0.22425037016152338	0.0269	PASS
genus.Olsenella.id.822	11	1.05	0.97	1.15	0.054651	0.043425	0.2215683093819211	0.208198017778347	0.027	PASS
genus.Lactobacillus.id.1837	8	1.12	0.93	1.35	0.113767	0.095072	0.2260563744416283	0.23144679933704615	0.0102	PASS
genus.Coprococcus3.id.11303	10	1.15	0.91	1.46	0.142063	0.120601	0.236724171889422	0.23881334433725598	0.0038	PASS
genus.LachnospiraceaeUCG010.id.11330	10	0.91	0.77	1.07	-0.096853	0.083936	0.2395281190026164	0.24854503556543595	0.016	PASS
genus..Ruminococcustorquesgroup.id.14377	9	0.87	0.69	1.1	-0.137877	0.118975	0.2452280768260226	0.24650895219996105	0.0023	PASS
class.Deltaproteobacteria.id.3087	13	0.92	0.8	1.06	-0.082437	0.07179	0.2469349512489591	0.2508411639432854	0.0068	PASS
genus.Sellimonas.id.14369	10	1.04	0.97	1.12	0.041435	0.036681	0.2474624331801685	0.25864953265905843	0.0192	PASS
order.Clostridiales.id.1863	13	0.91	0.78	1.07	-0.090401	0.080644	0.2573657599987221	0.2622928774054446	0.0082	PASS
family.Porphyromonadaceae.id.943	10	1.17	0.89	1.54	0.157624	0.139879	0.2616353148569381	0.25980146371321455	0.0031	PASS
family.Rikenellaceae.id.967	18	0.92	0.8	1.07	-0.077742	0.074186	0.2702071387440753	0.2946637879593951	0.0376	PASS
family.Ruminococcaceae.id.2050	10	1.09	0.94	1.26	0.084618	0.074743	0.2749727772853787	0.2575832620089398	0.0284	PASS
family.unknownfamily.id.1000001214	9	0.94	0.85	1.05	-0.056864	0.053906	0.279712768256565	0.2914833510911973	0.0179	PASS
order.Gastranaerophilales.id.1591	9	0.94	0.85	1.05	-0.056864	0.053906	0.279712768256565	0.2914833510911973	0.0179	PASS
genus.unknowngenus.id.1000001215	9	0.94	0.85	1.05	-0.056864	0.053906	0.279712768256565	0.2914833510911973	0.0179	PASS
genus.Collinsella.id.815	10	1.14	0.9	1.45	0.133102	0.121667	0.2869778888452773	0.2739610092610828	0.0202	PASS
genus.Victivallis.id.2256	11	1.04	0.97	1.12	0.041435	0.036681	0.2897036030376352	0.25864953265905843	0.0492	PASS
