taxon	n	OR	b	se	p	qp	or_eg	p_eg	pleio_p	p_wm	fdr
order.Lactobacillales.id.1800	15	0.9485889516989818	-0.05277971256096035	0.037681711050677656	0.16131221925425354	0.18810766354887953	1.1882271229164538	0.05663810192532689	0.01153630416581161	0.26554122481980524	0.7091016304718228
family.Acidaminococcaceae.id.2166	7	0.9334319404902847	-0.06888722654227016	0.05091174751875546	0.1760328399184209	0.15875388634055623	0.7492460443340926	0.0671741345643089	0.11742267583382583	0.23101677794023	0.7580189637303429
class.Melainabacteria.id.1589	11	1.0368690317292664	0.036205625928420734	0.02703883959364334	0.1805632117217315	0.24060554716798851	1.0797424143322447	0.37771089671656993	0.614983366837844	0.5602694323963074	0.7619767534657069
genus..Eubacteriumnodatumgroup.id.11297	11	0.972171206935952	-0.02822335120932315	0.021632795256239665	0.19201008778880746	0.15912076257191618	0.9650171986659958	0.7351688230350072	0.9424360109660046	0.24500165770134774	0.7845346669590059
genus.Faecalibacterium.id.2057	10	0.9352269820928661	-0.06696601755863014	0.05148273468204913	0.19334503640695877	0.028320616899856925	0.9668301807263024	0.7562319116509449	0.72138382916766	0.26529030477617843	0.7845346669590059
genus.Victivallis.id.2256	11	1.0303342128059905	0.029883228062214235	0.023455273645319245	0.20264514264146183	0.06005078622846872	1.0733733919155048	0.6759401806125814	0.8063128173394295	0.561109750303316	0.790886576961241
family.Clostridiaceae1.id.1869	10	0.9456776282336203	-0.055853541544154214	0.04390842402851831	0.20335672406995198	0.1881448131508735	0.8480523064681439	0.25787794641356876	0.4184815293728989	0.5274522150630612	0.790886576961241
class.Gammaproteobacteria.id.3303	7	0.9206950507487861	-0.08262640423359192	0.06535821950216042	0.20615526887615288	0.055882923472199454	1.0255638890877186	0.9247189156201543	0.6771016613189762	0.827987235257652	0.790886576961241
genus..Ruminococcusgauvreauiigroup.id.11342	12	0.9443686309426035	-0.05723869018160426	0.04600413746664771	0.2134232256353129	0.030277409333166687	1.3967930083789306	0.09976300561093596	0.05462700145003603	0.818088647605552	0.8041482251616253
genus.Marvinbryantia.id.2005	10	0.9503991271917192	-0.050873248733059644	0.042401789072910694	0.23022085186604035	0.15740998764905823	1.0235187289545113	0.8971411592875853	0.6715672683425122	0.0798765479359307	0.8286374233376539
genus.Ruminiclostridium5.id.11355	12	1.0484786848266685	0.04734024194639483	0.039917853924948496	0.23564537914074668	0.3151347138583341	0.9518371542103657	0.7710539318845818	0.5587576179557766	0.14677271649464343	0.8286374233376539
family.Alcaligenaceae.id.2875	14	0.9603329352268153	-0.04047524711615277	0.035371707290797215	0.2525062468057159	0.8797144780519719	0.9162491705792172	0.4990618792626377	0.7077648569385234	0.3241412366030898	0.8286374233376539
family.Lachnospiraceae.id.1987	17	1.0494985306934854	0.04831246027136335	0.04251356067599549	0.25578870460577785	0.01728600421560533	0.9060169420384188	0.33975924415129266	0.12901357095963892	0.7001465843162635	0.8286374233376539
